rmse_log,mae_log,rmse_real,mae_real,mape,accuracy_pct,family,n
0.2910127705070511,0.2323223121341664,1.028540946877708,0.6389786913627531,41.10843674923346,58.89156325076654,HARDWARE,328
0.3090641928141815,0.25613189655191027,1.1923888369476077,0.8071896379644218,44.50425451452081,55.49574548547919,HOME APPLIANCES,11
0.34149151682213585,0.27215427917887647,1.7409864021240016,0.8716113435322744,46.19713627069591,53.80286372930409,AUTOMOTIVE,1246
0.3957666878492586,0.3089028397132726,3.9041812597174443,2.685709332789159,47.189158503754825,52.810841496245175,SEAFOOD,1051
0.344337324873161,0.2875629210055129,1.4467702003956113,0.9655388470757418,49.590324512164244,50.409675487835756,BEAUTY,611
0.40886147879747475,0.32382340798948206,3.659367431734106,2.5517038734030204,50.03142239379491,49.96857760620509,EGGS,6984
0.43171212213574944,0.34376288526013754,5.002696700361791,2.8348866297047715,53.160551201635556,46.839448798364444,PERSONAL CARE,11600
0.4509953270528788,0.35478721500104626,6.83606825364694,3.850327975660065,55.1886386454036,44.8113613545964,PREPARED FOODS,3352
0.42219378779466205,0.33882297039736686,3.276585735939015,1.9835860703528538,55.21704050133693,44.78295949866307,DELI,17651
0.4489157474961306,0.35534629495914427,4.0467341315725625,2.5824939408886767,57.62829782680269,42.37170217319731,DAIRY,21351
0.45289542031175595,0.3585837265853654,4.021788433123267,2.511261485687212,58.802188573361136,41.197811426638864,FROZEN FOODS,4864
0.4624058757875582,0.36626077792399764,5.200471650141651,2.8688291368131438,58.88935733616475,41.11064266383525,GROCERY I,159505
0.472806582124329,0.36496096793035704,28.17598348850288,4.906842045775592,59.199352277685804,40.800647722314196,MEATS,11348
0.47834376736929757,0.3778188699343458,5.588206392203263,2.629200200562099,61.04084682516315,38.95915317483685,CLEANING,70711
0.547685337242363,0.41900313231171676,21.157035180332187,11.67426946221507,61.34118820071698,38.65881179928302,POULTRY,2889
0.4763708565699326,0.372771570630975,5.815345092233414,3.2215335508667313,61.89578550637671,38.10421449362329,BREAD/BAKERY,16751
0.46004971987474597,0.3731821371454722,3.5953329927319406,1.6770705864509965,68.20780735950707,31.792192640492928,LINGERIE,1718
0.5302863298873963,0.4238017135381308,4.832745576508757,2.9427251798364806,68.46843713702918,31.531562862970816,GROCERY II,1231
0.558283639626592,0.43600967679811503,13.040761137027866,5.335982772016847,71.75949013962273,28.240509860377273,BEVERAGES,35633
0.5587949798342072,0.4418085008568823,11.38860395556711,3.708593129017145,77.11287909021797,22.887120909782027,"LIQUOR,WINE,BEER",3703
0.49136779704489986,0.40677745577451996,2.5956715178794587,1.783325216114121,79.81896288717849,20.181037112821514,LAWN AND GARDEN,298
